objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Mine Shift","112840","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73956303","5.51701","5.83619","1.1667","16109","369","thing","Mine Shift","2","4","20","20","20","2011","2,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Monopoly","1406","4","","0","1","0","0","0","0","0","0","0","3","","","","","","73956314","4.29373","4.36197","1.6325","23496","46158","thing","Monopoly","2","8","180","180","60","1935","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mosaic: A Story of Civilization","329551","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","100182015","6.14699","7.7294","2.7838","2067","1713","thing","Mosaic: A Story of Civilization","1","6","120","120","90","2022","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73936364","5.70422","5.8817","1.8054","5209","83917","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The Neverland Rescue","245058","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","77573376","5.52862","6.67649","2.3333","13895","217","thing","The Neverland Rescue","2","2","45","45","30","2019","2","2","12+","","","","","","","standalone","","","","","","2020-12-25","","1","","","","","","",""
"Notre Dame: 10th Anniversary","213984","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73937592","6.58352","7.55596","2.5","0","5134","thing","Notre Dame: 10th Anniversary","2","5","75","75","45","2017","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"One Night Ultimate Werewolf","147949","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956155","6.91893","7.08784","1.3802","508","44453","thing","One Night Ultimate Werewolf","3","10","10","10","10","2014","4,5,6,7,8,9,10","6,7,8","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onirim","71836","0","","0","1","0","0","0","0","0","0","0","3","","I have the digital edition","","","","73957313","6.36705","6.64265","1.6493","1397","8563","thing","Onirim","1","2","15","15","15","2010","1,2","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Onitama","160477","0","","0","1","0","0","0","0","0","0","0","3","","I have the digital edition","","","","73957321","7.17227","7.37271","1.6776","278","29152","thing","Onitama","2","2","20","20","15","2014","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ORC","192830","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","73956345","5.68234","6.45538","1.75","5565","1937","thing","ORC","2","2","10","10","5","2017","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic","30549","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73938095","7.46181","7.56477","2.4046","124","181085","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Patchwork","163412","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100182036","7.51311","7.61793","1.6142","106","87901","thing","Patchwork","2","2","30","30","15","2014","2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Photosynthesis","218603","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","77637337","6.88417","7.04926","2.2707","550","34448","thing","Photosynthesis","2","4","60","60","30","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","2020-12-25","","1","","","","","","",""
"Plague Inc.: The Board Game","195162","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73938089","6.51349","7.42363","2.1596","1107","5781","thing","Plague Inc.: The Board Game","1","4","60","60","60","2017","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Poker","1115","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73937135","6.48568","6.71779","2.4246","1159","9107","thing","Poker","2","10","60","60","60","1810","3,4,5,6,7,8,9","5,6","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Quiddler","339","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73956332","5.84302","6.1027","1.4273","3669","7879","thing","Quiddler","1","8","30","30","30","1998","2,3,4,5,6","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Red Rising","329465","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100195393","6.66135","7.10031","2.2882","848","10951","thing","Red Rising","1","6","60","60","45","2021","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Res Arcana","262712","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","73938301","7.45894","7.71104","2.6129","126","23966","thing","Res Arcana","2","4","60","60","30","2019","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Resistance","41114","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73938315","7.1104","7.24407","1.5999","325","60637","thing","The Resistance","5","10","30","30","30","2009","5,6,7,8,9,10","7","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Root","237182","9","6","0","1","0","0","0","0","0","0","0","3","","","","","","83342337","7.89549","8.09181","3.7566","28","59831","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Root: The Clockwork Expansion","287220","0","","0","1","0","0","0","0","0","0","0","3","","","","","","87924817","6.60431","7.95008","3.8966","0","11271","thing","Root: The Clockwork Expansion","1","4","90","90","60","2020","1,2,3","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","30","USD","50","USD","2021-11-13","Space Cadets","1","","","","","","",""
"Root: The Riverfolk Expansion","241386","8","","0","1","0","0","0","0","0","0","0","3","","","","","","87924742","7.68749","8.4365","3.798","0","26230","thing","Root: The Riverfolk Expansion","1","6","90","90","60","2018","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","30","USD","50","USD","2021-11-13","Space Cadets","","","","","","","",""
"Root: The Underworld Expansion","272637","0","","0","1","0","0","0","0","0","0","0","3","","","","","","87924771","7.53676","8.72834","3.5385","0","17443","thing","Root: The Underworld Expansion","2","6","90","90","60","2020","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","30","USD","50","USD","2021-11-13","Space Cadets","1","","","","","","",""
"Royal Visit","22245","5","2","0","1","0","0","0","0","0","0","0","3","","","","","","89322581","6.10206","6.66032","1.6618","2218","3872","thing","Royal Visit","2","2","30","30","20","2006","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","The Wegner's","1","","","","","","",""
"Rummikub","811","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956277","6.24775","6.41861","1.7268","1724","32584","thing","Rummikub","2","4","60","60","60","1977","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Saboteur: The Duel","168215","6","","0","1","0","0","0","0","0","0","0","3","","","","","","73956324","5.72317","6.01155","1.2766","4937","5777","thing","Saboteur: The Duel","1","2","30","30","30","2014","1,2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Scythe","169786","10","8","0","1","0","0","0","0","0","0","0","3","","","","","","73957216","8.03609","8.189","3.4343","16","97110","thing","Scythe","1","5","115","115","90","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","65","USD","90","USD","2020-09-04","Barnes And Noble","1","","","","","","",""
"Scythe: Invaders from Afar","199727","9","","0","1","0","0","0","0","0","0","0","3","","","","","","85613466","7.83026","8.31638","3.4394","0","35449","thing","Scythe: Invaders from Afar","1","7","140","140","90","2016","1,2,3,4,5,6,7","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
